Category,SubCategory,Advice,AdviceContext,SourceLink,SourceType,SourceTitle
Fundraising & Finance,Investment Strategy,"When negotiating investment terms, optimize for moderate success scenarios rather than just maximum upside, as most startups achieve middle-of-the-road exits rather than massive outcomes"," ""The truth is: home runs rarely happen, and most results end up more in the middle of the pack. And it's in that very range where the terms make the biggest difference on who walks away with what.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
Fundraising & Finance,Investment Strategy,"When structuring investment rounds, consider how different share classes and their associated voting rights might affect future exit dynamics and ability to complete a sale"," ""Not only can their outcomes be dramatically different depending on the terms of each round, but those shareholders often have voting rights that may affect your ability to get the sale over the finish line. And, not surprisingly, their potential outcomes will usually influence how they'll vote.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
Fundraising & Finance,General,"When considering retirement account investments in startups, understand the specific tax implications that can compound losses"," ""If JJ's in-laws used their 401k money to make that investment, and then they end up losing their money, they can't even benefit from writing off the loss. Generally - and check with your accountant on this - you can't claim a capital loss from a retirement account.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,General,"When evaluating the liquidity risks of seed investments, recognize that most startup investments remain illiquid for extended periods"," ""Seed shares are highly illiquid investments. What that means is, if one of your in-laws ends up in the hospital and needs that money to cover expenses, they probably can't get it out. Most investment rounds come with limitations on who an investor can subsequently sell their shares to.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,Investment Strategy,"When evaluating friends and family investments in a startup's seed round, founders must consider the high probability of complete loss and its impact on critical relationships"," ""Unfortunately, I've seen a number of founders in anguish because of having done exactly that. I've seen entrepreneurs spend years trying to pay those losses back personally, in the hopes of repairing those relationships. I've seen people lose their homes. And worst of all, I've seen families and friendships destroyed over these losses.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,General,"Before accepting investments from non-professional investors, ensure they fully understand seed-stage startup risk statistics and failure rates"," ""While it's hard to get exact numbers on seed failure rates, various analytical firms like Crunchbase and CBInsights have taken a whack at coming up with the numbers... you will find a range of estimates between 50 and 75% of seed companies fail.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,General,"When considering accepting seed investments from individuals, ensure they meet three essential criteria for appropriate investment capacity"," ""When anyone asks me whether they should make a seed investment, I tell them to do so only if it is 'number one - money they can afford to lose; number two - money they don't mind tying up for seven years or more; and number three - that they have enough additional money to put about half again as much in a future round if the opportunity or need arises.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,General,"Instead of accepting direct investments from family members who cannot afford the risk, consider using annual gift allowances to share potential upside"," ""Well, gifting shares to others is often a popular way to go, as your shares are usually valued pretty low at a company's seed stage. You can give up to $16,000 of value to another person each year without any tax implications to either you or them.""",https://www.threshold.vc/podcast/the-case-of-the-in-law-investors/,Podcast, The Case of the In-law Investors
Fundraising & Finance,General,"When evaluating the strategic investment landscape, recognize the significant scale and prevalence of corporate investors in the startup ecosystem"," ""According to Global Corporate Venturing, there are over 2,000 strategic investor entities actively operating as of 2022. Also, according to them, corporate investors deployed $192 billion, yes with a B, into investments across all stages of the startup world in 2022. Almost 20% of all VC deals done globally include at least one strategic backer."" ",https://www.threshold.vc/podcast/the-case-of-the-strategic-sucker-punch/,Podcast, The Case of the Strategic Sucker Punch
Fundraising & Finance,Investment Strategy,"When dealing with strategic corporate investors, understand their dual investment motivations of both financial returns and strategic benefits to their core business"," ""Strategic investors are quite different. They have two ways to make money when investing in startups. One is the same way we do: They make money if they buy startup stock low, and someday sell it high. But even more importantly, they can also make money when their stock price goes up, by virtue of the great business deals they do with those startups."" ",https://www.threshold.vc/podcast/the-case-of-the-strategic-sucker-punch/,Podcast, The Case of the Strategic Sucker Punch
Fundraising & Finance,Investment Strategy,"When negotiating strategic investment deals, separate the investment terms from strategic partnership terms to ensure each component can stand alone on its own merits"," ""My advice to him was to start by seeing if he could negotiate a clean investment deal with a pure VC investor, and then see if he could put together a strategic deal with BigCo that could stand alone on its own merits - without the need for BigCo to invest."" ",https://www.threshold.vc/podcast/the-case-of-the-strategic-sucker-punch/,Podcast, The Case of the Strategic Sucker Punch
Fundraising & Finance,Investment Strategy,"When structuring rounds with both strategic and financial investors, recognize that strategic investors may accept different valuations and terms due to their additional benefits"," ""Pure venture investors, on the other hand, who only make money by buying and selling stock, were not getting that extra value and were, therefore, not willing to pay as high a price."" ",https://www.threshold.vc/podcast/the-case-of-the-strategic-sucker-punch/,Podcast, The Case of the Strategic Sucker Punch
Fundraising & Finance,Investment Strategy,"Before accepting strategic investment terms, carefully evaluate the long-term impact of strategic commitments like exclusive partnerships or rights of first refusal"," ""These types of agreements can be great. But you really need to make sure you fully understand and value what you are giving up to get whatever you are getting. For example, if you agree to buy only the strategic's products - or to exclusively sell to only them - then you are shutting off future opportunities to negotiate in the open market for better deals.""",https://www.threshold.vc/podcast/the-case-of-the-strategic-sucker-punch/,Podcast, The Case of the Strategic Sucker Punch
Company Culture & Team,Culture Building,"When faced with ethically ambiguous situations in a startup, recognize that decisions made for short-term financial gain can permanently damage company culture"," ""The truth is: that six-figure check would have come at the expense of our culture, which was worth way more to us than that or any check. So as painful as it was, we chose our values over a tempting but sketchy payoff.""",https://www.threshold.vc/podcast/the-case-of-the-soggy-software/,Podcast, The Case of the Soggy Software
Company Culture & Team,Culture Building,"When building company culture, understand that a leader's actions rather than stated values determine the true culture, as employees look to leadership behavior as their guide for acceptable conduct"," ""That's the funny thing about a company's culture. People think it's free food or slogans on the kitchen wall. But it isn't. The only things that truly form or impact culture are actions - especially the actions you take as the leader.""",https://www.threshold.vc/podcast/the-case-of-the-soggy-software/,Podcast, The Case of the Soggy Software
Fundraising & Finance,General,"For startup CEOs managing through crises, recognize that short-term financial gains should not override core company values, as compromising values for convenience destroys cultural integrity"," ""If you aspire to a culture of high values, but you break it for opportunity or convenience, then guess what? You actually don't have a culture of high values.""",https://www.threshold.vc/podcast/the-case-of-the-soggy-software/,Podcast, The Case of the Soggy Software
Company Culture & Team,Culture Building,"To build an enduring company culture, CEOs must view their daily decisions and actions as powerful tools for intentionally shaping organizational values"," ""Since culture is an important part of your company, for attracting, retaining, and motivating great people, and since you have the singular most influence for setting that culture, your actions are actually great and powerful tools for doing so.""",https://www.threshold.vc/podcast/the-case-of-the-soggy-software/,Podcast, The Case of the Soggy Software
Company Culture & Team,Culture Building,"Early-stage CEOs must recognize that beyond traditional business responsibilities, they are the primary shapers of company culture through both significant and seemingly minor actions"," ""Especially at early-stage companies, the CEO's behavior dominates the culture - for better or worse. Even your small and seemingly insignificant actions are guideposts to everyone else about what is and isn't acceptable in your company's culture.""",https://www.threshold.vc/podcast/the-case-of-the-soggy-software/,Podcast, The Case of the Soggy Software
Acquisition & Exit Strategy,Acquisition Strategy,"When considering a startup acquisition offer at the same valuation as a previous funding round, understand this indicates the company didn't create additional value and common shareholders will likely receive little"," ""What that means is the company ran along for two years, and burned through the capital it raised, but didn't grow its value as a result. And that, my friends, is not a good outcome. Because while no new value was created, that $20 million carried downside protection, and that still had to be paid in an outcome.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Fundraising & Finance,General,"When evaluating late-stage startup financing options, understand that emergency loans often come with priority payback rights that further reduce common shareholder returns"," ""The good news about loans is they don't dilute the equity since no shares were sold. But the bad news about the loan was that the best deal they could negotiate came at a guaranteed 2x payback - if and when it could be paid back, that is. And, as is also normal practice, because this money was the last money in, the providers negotiated that it would need to be the first money paid back out - even before the preferred shareholders would get their 1x on their shares.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Legal & Equity Structures,Employee Equity,"When joining a startup as an employee with equity compensation, understand that your initial ownership percentage will decrease through subsequent funding rounds and employee grants"," ""There is only, ever, 100%. It's a bit of a fallacy to talk about any original grant as a percent of the company, even if that is calculable at the time the grant is given. Why? Because companies almost always issue more shares as they grow - shares they need for new employees and for refresher grants, as well as the shares they sell to raise more money.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Legal & Equity Structures,Employee Equity,"Before accepting startup equity compensation, understand that investor-held preferred shares will receive their investment back before common shareholders see any returns in an exit"," ""Investors who typically buy preferred shares usually get some downside protection for the money they put in. This often comes as a right to receive that same amount of money back in a sale of the company, before the common shareholders get anything.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Fundraising & Finance,General,"When calculating potential returns from startup equity, factor in that company debt financing will be paid back at a premium before common shareholders receive anything"," ""Add up 10 million of debt, times 2, which is the agreed-upon multiple for that debt. That's 20 million. Now add the 20 million from the A round, plus the five million from the seed round. So that's 45 million dollars off the top, before the common shareholders see a single penny of return.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Acquisition & Exit Strategy,Exit Planning,"When estimating potential equity value in a startup exit, account for significant transaction costs that reduce the final payout to shareholders"," ""Generally, lawyers and bankers are involved in getting these deals done. It is not uncommon to run up hundreds of thousands of dollars in legal fees, and then carve off a percentage of the deal - say, 3%, to the bankers. So that's 3% of 50 million, which is $1.5 million, and say 500k in legal fees, so that's another 2 million in total.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Legal & Equity Structures,Employee Equity,"When evaluating startup equity as part of compensation, treat it as a lottery ticket rather than guaranteed future wealth"," ""For your own sanity, I think it is good advice to consider your equity as pure risk upside - that is, count it as zero until it's real. As my good friend, the famed VC Brad Feld, likes to say, it's not money 'til you can buy beer with it.""",https://www.threshold.vc/podcast/the-case-of-the-millionaire-mirage/,Podcast, The Case of the Millionaire Mirage
Legal & Equity Structures,Equity Structure,"When setting up startup equity arrangements, understand that a smaller percentage of a viable company is worth more than a larger percentage of a failed one"," ""And as for Paul, she hoped he would see this as a reasonable outcome for him, too. After all, she hoped he would rather have a smaller piece of something that may become valuable, instead of 20% of a sure zero. Without funding, the company would not be able to continue.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Founder Equity,"When negotiating with departing co-founders during fundraising, consider resetting all founder grants to industry-standard vesting schedules to maintain fairness"," ""I suggested Claire ask her new lead investor if resetting all four founder grants to an industry-standard four-year vest would solve his problem and allow him to issue a term sheet. I suggested that she also ask to have 25% of their shares deemed vested, in order to give them credit for the time they've already worked.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Founder Equity,"When establishing initial founder equity arrangements in a startup, implement vesting schedules that require ongoing contribution to earn ownership over time"," ""Simply put, with vesting, you still know the amount of shares in your grant on day 1. The difference is that you earn it over time - contingent on your continuing to work for the company. A typical vesting schedule will have some initial period when nothing vests, sort of a trial period.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Founder Equity,"When allocating founder equity in a startup's early stages, recognize that the work of building the company deserves significantly more equity than just contributing to the initial idea"," ""Having the original idea and being there at the founding is certainly worth something. But it's a whole lot less than what people should get for actually building the company. And it's most certainly not worth 20% to each founder on day 1.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Founder Equity,"When creating founder equity agreements, design milestone-based vesting schedules that align with specific company objectives beyond time-based vesting"," ""Some vesting schedules, especially for grants that occur after the initial founding of the company, may specify vesting conditions beyond simply the passing of time. For example, they may state that you'll earn your shares only if certain milestones or business objectives are met.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Founder Equity,"When dividing equity among startup co-founders, allocate shares based on expected contribution and role rather than defaulting to equal splits"," ""There's no magic or requirement for splitting shares evenly among founders. In fact, I'd argue, rarely is everyone exactly equally responsible for the company's start - or for its ultimate success.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Governance & Board Management,Board Composition,"When setting up a startup's initial corporate structure, establish clear documentation of voting rights and governance to prevent future disputes"," ""Understanding voting rights and how to best design them to suit your goals is critical to do up front at company formation and funding times. You can't just go back and remove rights you gave out in the past with no process.""",https://www.threshold.vc/podcast/the-case-of-the-deadweight-co-founder/,Podcast, The Case of the Deadweight Co-Founder
Legal & Equity Structures,Employee Equity,"When handling a compensation data leak in your startup, address it proactively with transparent communication about your compensation philosophy rather than just focusing on the breach"," ""The lesson you might think you should take away from this snafu is that Carl needs to shore up his communications systems so that comp files won't leak again. And, well, sure, it is better if your comp doesn't get out in the wild. Lesson learned. But that isn't the biggest lesson here.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When developing startup compensation practices, avoid creating ad-hoc compensation arrangements that could appear unfair under scrutiny"," ""Often, at early stages of a company's life, CEOs kinda wing it without seeking input about how to pay people. They respond to each recruitment dance, creating a hodgepodge system with no underlying strategy or tests for fairness. This seems to work okay - well until it doesn't.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When developing startup compensation systems, seek external expertise and market data rather than relying on internal judgment alone"," ""I introduced Carl to an external comp specialist. They had market data and great templates for how other companies have determined their philosophies and put them into practice.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When managing employee reactions to compensation data exposure, understand that perceived unfairness matters more than absolute compensation levels"," ""Fairness is such a basic desire it extends even beyond humans... Humans do, too. We want to know if the system we are in is fair. And if it doesn't seem fair, that impacts how we feel about that system.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When responding to an accidental compensation data leak, use it as an opportunity to review and improve compensation practices"," ""Carl worked with a consultant, his board, his managers, and current market data to create a compensation philosophy that could be easily communicated to all. And then worked with the same people to translate all that into specific packages for each type of employee the company had.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When addressing compensation transparency issues, recognize that proper pay structures should be defensible even if unexpectedly exposed"," ""In the case of a leaked comp spreadsheet, the main worry Carl should have is what his compensation details communicate to his team about how he thinks about them, what he values as their leader, and whether or not he is treating them fairly across the board.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When establishing startup compensation practices, create systems that can withstand scrutiny rather than relying on confidentiality"," ""If your company's spreadsheet has got grapes and cucumbers all mixed up, you've got a problem. If you hired your cousin who wasn't really qualified, and your uncle pressured you to pay him 25% above market - buddy, you're in trouble. If squeaky wheels get greased, how does that make your strong, loyal, quiet performers feel?""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When developing compensation policies for your startup, assume all information could become public and design systems that would stand up to scrutiny"," ""Just presume that information is going to get out. Presume that anything you say or do might end up on the front page of the New York Times. Imagine how you would feel about that. And then think: what can you do about it now, before it gets out, to change the outcome and minimize any potential damage?""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When implementing compensation systems in a startup, ensure both external market competitiveness and internal fairness to maintain employee trust and motivation"," ""That said, employees do expect the overall internal compensation system should be fair on a relative basis. If it's not, what does the data say about your company's culture? What does it say about how people are valued and treated?""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When managing startup compensation, establish a regular review process to adjust practices based on market conditions and company growth"," ""Compensation is a huge tool for attracting, retaining, and motivating people - which, in my mind, is one of the most important things a CEO does. And that's why it deserves your attention.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Legal & Equity Structures,Employee Equity,"When designing startup compensation packages, consider the full range of benefits beyond salary that can attract and retain talent"," ""People often choose to forego the highest pay they can get for other subjective benefits, like the mission of the company, flexible work structure, quality of the other employees, or even the location.""",https://www.threshold.vc/podcast/the-case-of-the-exposed-compensation-file/,Podcast, The Case of the Exposed Compensation File
Governance & Board Management,Board Composition,"When dealing with disruptive board member behavior in a startup, recognize that removal can be more challenging than a marital divorce given the average 7-year tenure"," ""The average board tenure from first investment to liquidity is about seven years - about the same length as the average marriage in America. And honestly, sometimes it seems harder to get rid of a board member than it does to divorce a spouse.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When experiencing board member misconduct, document specific instances of destructive behavior that impact company operations"," ""Unfortunately, this hadn't been the first time we'd seen Vince act out. He'd done something similar at the previous two board meetings. And it had come to the point where we were all dreading the next one.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When managing board dynamics in a startup, work with other board members and legal counsel to explore removal options for consistently disruptive members"," ""So I called Felicia back, to figure out how to either bring Vince around to a better place or, if things couldn't be improved, how to potentially remove him from the board.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When dealing with difficult board members in a startup, understand that their behavior may be driven by external VC fund pressures and performance issues"," ""A VC's upside income, called 'carry,' typically depends more on the performance of the whole fund than on any one investment. And, their standing as a partner, even their very position with their firm, depends to a large part on how the deals they've led perform.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Communication,"When managing newer VC board members, recognize that excessive information requests may stem from their need to report to partners rather than help the company"," ""To that green VC, it may feel like they need to be able to answer every question their partners may ask when they're talking about you. So, they pepper you with questions and requests for data and analysis. And that may help them achieve their goal - but it doesn't necessarily help you.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When addressing disruptive board member behavior, start with direct one-on-one conversations that acknowledge their investment while clearly communicating the impact on company operations"," ""I suggested she sit down with Vince, one-on-one, and tell him how his actions in the boardroom are negatively impacting her and her team's ability to be successful.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When exploring options for removing investor board members, understand the contractual rights of the board seat before taking action"," ""To know whether you can eliminate a board member without their cooperation, you need to know the contractual rights to the board seat they are in. In private companies, some board seats are typically held by investors. However, the seat is usually not bound to a particular individual but rather to a person designated by the investor firm that holds the seat.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Fundraising & Finance,Investment Strategy,"When seeking to replace a problematic investor board member, consider using new funding rounds as a natural transition point"," ""When you're raising your next round, one of the things the new lead investor will want to discuss with you is your board... You could say, 'I think one of our board members may not have the right skills for our next phase of growth,' which is polite code-speak for 'please write the term sheet in such a way as to eliminate their board seat.'""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,General,"When considering board composition changes, be cautious about offering observer seats as alternatives"," ""Moving Vince to 'board observer' wasn't gonna solve the problem. After all, a board member can still be a pain in the ass as a board observer.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When stuck with a difficult board member, maintain professionalism and focus on demonstrating good governance"," ""If this is the case, you should continue to work with the rest of your board to set an example of what good governance looks like, don't take the attacks personally, and move on until you have another opportunity to effect a change.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When attempting to replace an investor board member, build documentation of specific problematic behaviors before approaching their firm"," ""If you're gonna play this card, you had better have a lot of very specific examples of how your Boardzilla has been disruptive because asking a venture firm to swap partners should only be done after you've tried everything else.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,General,"When managing board transitions, consider using company growth stages as justification for changes"," ""As companies raise more money, some early investors do tend to cycle off the board for a number of reasons. For example, they may be early-stage specialists, and when the company enters its growth stage, it may be better served by directors more experienced in later stages.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Governance & Board Management,Board Composition,"When introducing new board members, consider using specific expertise requirements as a diplomatic way to restructure the board"," ""Especially when a company hits an inflection point, the CEO might ask the board to add a member with particular superpowers, for instance, sales leadership, government contracting, or something else the company really needs at that time.""",https://www.threshold.vc/podcast/the-case-of-the-boardzilla-board-member/,Podcast, The Case of the Boardzilla Board Member
Business Strategy & Pivots,Strategic Planning,"For entrepreneurs evaluating pivots in a struggling startup, understand that most pivots fail because teams lack market understanding or necessary skills in the new direction"," ""Why? Well, some pivot into a market or industry they don't really understand. Some pivot to a place already packed with competition. Some teams have the wrong skill sets to actually tackle the pivot since it's not what they were hired for.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
Fundraising & Finance,Financial Management,"When managing startup cash reserves, exclude borrowed money from runway calculations to ensure sufficient resources for wind-down or sale before insolvency"," ""Oh, and when I say cash left, I don't include money that you may have borrowed. You need to have sufficient cash net of debt to get the company sold or wound down before it becomes insolvent, for both legal and practical reasons.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
Governance & Board Management,General,"For founders considering an exit, engage with your board and lead investors early in the process to benefit from their experience and maintain alignment"," ""This is a conversation the entrepreneur should be able to have with their board and lead investors. By doing so, not only can they benefit from any experience or resources the others can bring to the table, but also, the process can help to get the key constituents informed and aligned.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
Fundraising & Finance,Financial Management,"When facing potential startup failure, recognize that most startups don't succeed and plan for an orderly wind-down while sufficient cash remains rather than continuing until funds are depleted"," ""Many, if not most, startups end up not working. That may not be what people want to hear, and I hope it doesn't end up applying to you, but that is the reality.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
Business Strategy & Pivots,Strategic Planning,"Before attempting to save a struggling startup through a pivot, establish specific success metrics and ensure your team has the necessary expertise for the new direction to avoid wasting remaining resources"," ""You should apply the same discipline I hope you had when you were pursuing your original idea to the new things you're gonna try...determine the minimum metrics of user engagement or revenue that would confirm that they've found something worth doing.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
Acquisition & Exit Strategy,Exit Planning,"When considering closing down a startup, maintain sufficient runway to properly execute either a sale process or orderly wind-down by planning 6-9 months for a sale or 2 months for shutdown"," ""From my experience, it takes six to nine months to successfully sell a company. And it takes about two months to properly wind a company down if you can't find a buyer.""",https://www.threshold.vc/podcast/the-case-of-the-company-that-wasn't/,Podcast, The Case of the Company that Wasn't
